[2024-06-21 17:49:44.563] [error] NOTE: Picked up JDK_JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-21 17:49:44.567] [error] Picked up JAVA_TOOL_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-21 17:49:44.567] [error] Picked up _JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-21 17:49:44.771] [info]  [17:49:44] [Genesis/main/
[2024-06-21 17:49:44.772] [info]  INFO] Found external file: Fabric-API-v1_20_1-0.90.7.jar
[2024-06-21 17:49:44.775] [info]  [17:49:44] [Genesis/main/INFO
[2024-06-21 17:49:44.775] [info]  ] Found external file: FerriteCore-v1_20_1-6.0.0.jar
[2024-06-21 17:49:44.776] [info]  [17:49:44] [Genesis/main/INFO] Found external file: Lithium-v1_20_1-0.11.2.jar
[2024-06-21 17:49:44.777] [info]  [17:49:44] [Genesis/main/INFO] Found external file: Noxesium-v1_20_1-1.0.3.jar
[2024-06-21 17:49:44.777] [info]  [17:49:44] [Genesis/main/INFO] Found external file: Noxesium_API-v1_20_1-1.0.3.jar
[2024-06-21 17:49:44.777] [info]  [17:49:44] [Genesis/main/INFO] Found external file: ReplayMod-v1_20_1-2.6.14.jar
[2024-06-21 17:49:44.777] [info]  [17:49:44] [Genesis/main/INFO] Found external file: Sodium-v1_20_1-0.5.8.jar
[2024-06-21 17:49:44.778] [info]  [17:49:44] [Genesis/main/INFO] Found external file: Indium-v1_20_1-1.0.30.jar
[2024-06-21 17:49:44.778] [info]  [17:49:44] [Genesis/main/INFO] Found external file: Iris-v1_20_1-1.6.17.jar
[2024-06-21 17:49:44.778] [info]  [17:49:44] [Genesis/main/INFO] Found external file: hypixel-quickplay-data.json
[2024-06-21 17:49:44.778] [info]  [17:49:44] [Genesis/main/INFO] Found external file: hypixel-bedwars-data.json
[2024-06-21 17:49:44.779] [info]  [17:49:44
[2024-06-21 17:49:44.779] [info]  ] [Genesis/main/INFO] Found external file: hypixel-skyblock-dungeon-rooms.json
[2024-06-21 17:49:44.826] [info]  [17:49:44] [Genesis/main/INFO] Found classpath URL: common-0.1.0-SNAPSHOT-all.jar with SHA-1 hash d55f1b0ac13c8a0e4adc1d3072d23059c44d26b8
[2024-06-21 17:49:44.827] [info]  [17:49:44] [Genesis/main/INFO] 
[2024-06-21 17:49:44.828] [info]  Found classpath URL: lunar-fabric-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 500ac97175fa953c59c311a3387b0d6c72cf5dba
[2024-06-21 17:49:44.840] [info]  [17:49:44] [Genesis/main/INFO] Found classpath URL: genesis-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 444937f4ede76553b24bff14153b5d9e35687eb2
[2024-06-21 17:49:44.841] [info]  [17:49:44] [Genesis/
[2024-06-21 17:49:44.842] [info]  main/INFO] Found classpath URL: lunar-lang.jar with SHA-1 hash 32a7e666acdc5ff9de8ce454b9390b6bd2bc9177
[2024-06-21 17:49:44.842] [info]  [17:49:44] [Genesis/main/INFO] Found classpath URL: lunar-emote.jar with SHA-1 hash b04f3ee8f5e43fa3b162981b50bb72fe1acabb33
[2024-06-21 17:49:44.876] [info]  [17:49:44] [Genesis/main/INFO] Found classpath URL: lunar.jar with SHA-1 hash 7ae8b4c716d4afeeca6354f3a4b2bb4f5302869a
[2024-06-21 17:49:44.887] [info]  [17:49:44] [Genesis/main/INFO] 
[2024-06-21 17:49:44.888] [info]  Found classpath URL: modern-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 1b16b6bc92071b52ebc358659a8f371324df0a45
[2024-06-21 17:49:44.889] [info]  [17:49:44] [Genesis/main/INFO] Found classpath URL: lunar-ferrite-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 557af8afbc5a3a2dd1082d6c1d89d0924d9148a7
[2024-06-21 17:49:44.889] [info]  [17:49:44] [Genesis/main/INFO] Found classpath URL: lunar-lithium-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 6bddb75b7b546461fe3906061ed6b69c96459fc2
[2024-06-21 17:49:44.890] [info]  [17:49:44] [
[2024-06-21 17:49:44.890] [info]  Genesis/main/INFO] Found classpath URL: lunar-noxesium-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 9ef6225eb7368f6fa9728dd8d086f284b70e6e95
[2024-06-21 17:49:44.891] [info]  [17:49:44] [
[2024-06-21 17:49:44.892] [info]  Genesis/main/INFO] Found classpath URL: lunar-replaymod-fabric-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash d597c36d0c2ff4f04ca99579bbfe849ed80f8dbd
[2024-06-21 17:49:44.893] [info]  [17:49:44
[2024-06-21 17:49:44.894] [info]  ] [Genesis/main/INFO] Found classpath URL: lunar-sodium-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash e5611315574ee949cf2389d5c899eca8eef9c8a3
[2024-06-21 17:49:45.576] [info]  [17:49:45] [Genesis/main/INFO] Adding pre-launch library to game classpath: .\.ichor\ichormodule-libs\net_fabricmc_fabric_loader_0_15_11-lunar-0.1.0.jar
