[2024-05-04 16:03:59.463] [error] NOTE: Picked up JDK_JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-05-04 16:03:59.469] [error] Picked up JAVA_TOOL_OPTIONS: -XX:+DisableAttachMechanism
[2024-05-04 16:03:59.469] [error] Picked up _JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-05-04 16:03:59.740] [info]  [16:03:59] [Genesis/main
[2024-05-04 16:03:59.741] [info]  /INFO] Found external file: Fabric-API-v1_20_1-0.90.7.jar
[2024-05-04 16:03:59.745] [info]  [16:03:59] [Genesis/main/INFO] Found external file: ReplayMod-v1_20_1-2.6.14.jar
[2024-05-04 16:03:59.746] [info]  
[2024-05-04 16:03:59.746] [info]  [16:03:59] [Genesis/main/INFO] Found external file: FerriteCore-v1_20_1-6.0.0.jar
[2024-05-04 16:03:59.747] [info]  [16:03:59] [Genesis/main/INFO] Found external file: Lithium-v1_20_1-0.11.2.jar
[2024-05-04 16:03:59.748] [info]  [16:03:59] [Genesis/main/INFO] Found external file: Noxesium-v1_20_1-1.0.3.jar
[2024-05-04 16:03:59.748] [info]  [16:03:59] [Genesis/main/INFO] Found external file: Noxesium_API-v1_20_1-1.0.3.jar
[2024-05-04 16:03:59.748] [info]  [16:03:59] [Genesis/main/INFO] Found external file: Sodium-v1_20_1-0.5.8.jar
[2024-05-04 16:03:59.748] [info]  [16:03:59] [Genesis/main/INFO] Found external file: Indium-v1_20_1-1.0.30.jar
[2024-05-04 16:03:59.749] [info]  [16:03:59] [Genesis/main/INFO] Found external file: Iris-v1_20_1-1.6.17.jar
[2024-05-04 16:03:59.800] [info]  [16:03:59] [Genesis/main/
[2024-05-04 16:03:59.801] [info]  INFO] Found classpath URL: common-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 1cfb5349d1c43ef21b211fbf30267b7837d4ce0e
[2024-05-04 16:03:59.802] [info]  [16:03:59] [Genesis/main/INFO] Found classpath URL: lunar-fabric-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 636715e869ecdb1f59e112090ec7c0c37418e13f
[2024-05-04 16:03:59.814] [info]  [16:03:59] [Genesis/main/INFO] Found classpath URL: genesis-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 8ed1af41871ccd03a688349c59ea12f66a921487
[2024-05-04 16:03:59.816] [info]  [16:03:59] [Genesis/main/INFO] Found classpath URL: lunar-lang.jar with SHA-1 hash a82c9137e19968ecc576ba79d970e8d2f3259a37
[2024-05-04 16:03:59.817] [info]  [16:03:59] [Genesis/main/INFO] Found classpath URL: lunar-emote.jar with SHA-1 hash b04f3ee8f5e43fa3b162981b50bb72fe1acabb33
[2024-05-04 16:03:59.853] [info]  [16:03:59] [Genesis/main/INFO] 
[2024-05-04 16:03:59.854] [info]  Found classpath URL: lunar.jar with SHA-1 hash 27774607d5519ac202f8af930fe35decd5dff9c7
[2024-05-04 16:03:59.864] [info]  [16:03:59] [Genesis/main/INFO] Found classpath URL: modern-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 07d1d40a6d9899e4971d741cc719e4514a9eda6f
[2024-05-04 16:03:59.865] [info]  [16:03:59] [Genesis/main/INFO
[2024-05-04 16:03:59.866] [info]  ] Found classpath URL: lunar-replaymod-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 9e0a85a89aa1b2a73fc7a318891c8a6a4e6fe115
[2024-05-04 16:03:59.866] [info]  [16:03:59] [Genesis/main/INFO] Found classpath URL: lunar-ferrite-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash ade73a70ecccc5060298cf5d0a96d875dfd36df5
[2024-05-04 16:03:59.867] [info]  [16:03:59] [Genesis/
[2024-05-04 16:03:59.867] [info]  main/INFO] Found classpath URL: lunar-lithium-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 93464fd93e8d1322a4215e4a376eb8611fffab1c
[2024-05-04 16:03:59.867] [info]  [16:03:59] [Genesis/
[2024-05-04 16:03:59.868] [info]  main/INFO] Found classpath URL: lunar-noxesium-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash bde0ccab0cb1fea401268fe61fc1fe4b1f12eccd
[2024-05-04 16:03:59.870] [info]  [16:03:59] [Genesis/main/INFO] Found classpath URL: lunar-sodium-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash b9349b5ae2a35020d4c1df51232067f9fe069f94
