[2024-06-16 00:10:12.919] [error] NOTE: Picked up JDK_JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-16 00:10:12.972] [error] Picked up JAVA_TOOL_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-16 00:10:12.972] [error] Picked up _JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-16 00:10:13.335] [info]  [00:10:13] [
[2024-06-16 00:10:13.336] [info]  Genesis/main/INFO] Found external file: Fabric-API-v1_21_0-0.100.1.jar
[2024-06-16 00:10:13.340] [info]  [00:10:13] [Genesis/main/INFO] Found external file: Sodium-v1_21_0-0.5.9.jar
[2024-06-16 00:10:13.341] [info]  [00:10:13] [Genesis/main/INFO] Found external file: Iris-v1_21_0-1.7.1.jar
[2024-06-16 00:10:13.407] [info]  [00:10:13] [Genesis/main/INFO
[2024-06-16 00:10:13.408] [info]  ] Found classpath URL: common-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 066b048ed2b02a814af31aa987e7b5d0e0f61bcc
[2024-06-16 00:10:13.409] [info]  [00:10:13] [Genesis/main
[2024-06-16 00:10:13.410] [info]  /INFO] Found classpath URL: lunar-fabric-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 28a38ca2951a5a3d14864038fd7c0b14d854cc00
[2024-06-16 00:10:13.424] [info]  [00:10:13] [Genesis/main/INFO] Found classpath URL: genesis-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 5acb844b73c492e6a58653cfa9a89eea9fc74e0f
[2024-06-16 00:10:13.425] [info]  [00:10:13] [Genesis/main/INFO
[2024-06-16 00:10:13.426] [info]  ] Found classpath URL: lunar-lang.jar with SHA-1 hash b62ace71a2e3fbe72c5c5d98781a4a1099a178f4
[2024-06-16 00:10:13.426] [info]  [00:10:13] [Genesis/main/INFO] Found classpath URL: lunar-emote.jar with SHA-1 hash b04f3ee8f5e43fa3b162981b50bb72fe1acabb33
[2024-06-16 00:10:13.463] [info]  [00:10:13] [Genesis/main/INFO
[2024-06-16 00:10:13.464] [info]  ] Found classpath URL: lunar.jar with SHA-1 hash cba1e212029224212287e9a05651b905c1f712cd
[2024-06-16 00:10:13.477] [info]  [00:10:13] [Genesis/main/INFO] 
[2024-06-16 00:10:13.477] [info]  Found classpath URL: modern-0.1.0-SNAPSHOT-all.jar with SHA-1 hash bb19e620daa7014ce79b156bad89e8de16a8b6ce
[2024-06-16 00:10:13.480] [info]  [00:10:13] [Genesis/
[2024-06-16 00:10:13.480] [info]  main/INFO] Found classpath URL: lunar-sodium-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 74d30060a1f6851320b9bba9c70c2b7fd256f0eb
[2024-06-16 00:10:16.198] [info]  [00:10:16] [Genesis/main/
[2024-06-16 00:10:16.199] [info]  INFO] Adding pre-launch library to game classpath: .\.ichor\ichormodule-libs\net_fabricmc_fabric_loader_0_15_11-lunar-0.1.0.jar
[2024-06-16 00:10:16.284] [info]  [00:10:16] [Genesis/GameBootstrap/main/INFO] Launching Minecraft 1.21 v1_21_0 (parsed from 1.21)
[2024-06-16 00:10:17.264] [info]  [00:10:17] [Ichor+Fabric/main/INFO] Using custom local mod path: C:\Users\Asus\.lunarclient\profiles\9805af22-4032-42a9-91ec-97e451c42727\mods
[2024-06-16 00:18:39.274] [info]  [00:18:39] [Ichor/main/WARN] Fabric Mod indium is missing an external file!
[2024-06-16 00:18:39.405] [info]  [00:18:39] [Genesis/GameBootstrap/main/INFO] Config hash: 1599c8d6  File hash: 9fffe9eb
[2024-06-16 00:18:39.405] [info]  [00:18:39] [Genesis/Baker/
[2024-06-16 00:18:39.406] [info]  main/INFO] Missing class cache: .\cache\1599c8d6\9fffe9eb\bake.cache
[2024-06-16 00:18:39.406] [info]  [00:18:39] [Genesis/Baker/main/INFO] Baking classes...
[2024-06-16 00:18:39.406] [info]  LUNARCLIENT_STATUS_BUILD_CACHE
[2024-06-16 00:18:39.415] [info]  [00:18:39] [IchorPipeline/main/INFO] Loading Mixin runtime for META_MIXIN
[2024-06-16 00:18:39.755] [info]  [00:18:39] [IchorPipeline/main/INFO] Built mapping set for com.moonsworth.lunar.ichor.CRCIRCHCIOCCIHRCHCHOHICRI.RHOCIORRHROCOHOOCRHHRRHCI.IHCRIIIICOROROOCCIHHHHCRI.RHCRCHHICCCIIHIIIHIIRROOO 328ms on thread main
[2024-06-16 00:18:40.958] [info]  [00:18:40] [Ichor/mixin(META_MIXIN)/INFO] SpongePowered MIXIN Subsystem Version=0.8.5 Source=Unknown Service=Ichor Env=CLIENT
[2024-06-16 00:18:41.544] [info]  [
[2024-06-16 00:18:41.545] [info]  00:18:41] [IchorPipeline/main/INFO] Loading Mixin runtime for MIXIN
[2024-06-16 00:18:42.383] [info]  [00:18:42] [Ichor/mixin(MIXIN)/INFO] SpongePowered MIXIN Subsystem Version=0.8.5 Source=Unknown Service=Ichor Env=CLIENT
[2024-06-16 00:18:43.059] [info]  [00:18:43] [IchorPipeline/main/INFO] Done loading Mixin runtimes in 3647ms
[2024-06-16 00:18:43.061] [info]  [00:18:43] [IchorPipeline/main/INFO] Setting up mixins for META_MIXIN
[2024-06-16 00:18:43.205] [info]  [00:18:43] [IchorPipeline/main/INFO] Setting up mixins for MIXIN
[2024-06-16 00:18:43.206] [info]  [00:18:43
[2024-06-16 00:18:43.207] [info]  ] [Ichor/main/INFO] Mixin config mixins.modern.json doesn't exist in IchorClassLoader(MIXIN)
[2024-06-16 00:18:43.207] [info]  [00:18:43] [Ichor/main/INFO] Mixin config mixins.modern_lunar.json doesn't exist in IchorClassLoader(MIXIN)
[2024-06-16 00:18:43.543] [info]  [00:18:43] [IchorPipeline/main/INFO] Done registering Mixins in 483ms
[2024-06-16 00:18:43.544] [info]  [00:18:43] [IchorPipeline/main/INFO] Going to default mixins stage for META_MIXIN
[2024-06-16 00:18:45.017] [info]  [00:18:45] [IchorPipeline/main/INFO] Going to default mixins stage for MIXIN
[2024-06-16 00:18:46.206] [info]  [00:18:46] [main/INFO]: Loaded configuration file for Sodium: 42 options available, 3 override(s) found
[2024-06-16 00:18:54.009] [info]  [00:18:54] [Ichor/MixinExtras|Service(META_MIXIN)/INFO] Initializing MixinExtras via com.llamalad7.mixinextras.service.MixinExtrasServiceImpl(version=0.3.5).
[2024-06-16 00:18:55.448] [info]  [00:18:55] [main/WARN]: Force-disabling mixin 'features.render.entity.CuboidMixin' as rule 'mixin.features.render.entity' (added by mods [iris]) disables it and children
[2024-06-16 00:18:55.450] [info]  [00:18:55] [main/WARN]: Force-disabling mixin 'features.render.entity.ModelPartMixin' as rule 'mixin.features.render.entity' (added by mods [iris]) disables it and children
[2024-06-16 00:18:55.451] [info]  [00:18:55] [main/WARN]: Force-disabling mixin 'features.render.entity.cull.EntityRendererMixin' as rule 'mixin.features.render.entity' (added by mods [iris]) disables it and children
[2024-06-16 00:18:55.454] [info]  [00:18:55] [main/WARN]: Force-disabling mixin 'features.render.entity.shadows.EntityRenderDispatcherMixin' as rule 'mixin.features.render.entity' (added by mods [iris]) disables it and children
[2024-06-16 00:18:55.457] [info]  [00:18:55] [main/WARN]: Force-disabling mixin 'features.render.gui.font.GlyphRendererMixin' as rule 'mixin.features.render.gui.font' (added by mods [iris]) disables it and children
[2024-06-16 00:18:55.479] [info]  [00:18:55] [main/WARN]: Force-disabling mixin 'features.render.world.sky.BackgroundRendererMixin' as rule 'mixin.features.render.world.sky' (added by mods [iris]) disables it and children
[2024-06-16 00:18:55.481] [info]  [00:18:55] [main/WARN]: Force-disabling mixin 'features.render.world.sky.ClientWorldMixin' as rule 'mixin.features.render.world.sky' (added by mods [iris]) disables it and children
[2024-06-16 00:18:55.481] [info]  [00:18:55] [main/WARN]: Force-disabling mixin 'features.render.world.sky.WorldRendererMixin' as rule 'mixin.features.render.world.sky' (added by mods [iris]) disables it and children
[2024-06-16 00:18:55.800] [info]  [00:18:55] [IchorPipeline/main/INFO] Mixin runtimes prepared in 12257ms
[2024-06-16 00:18:55.801] [info]  [00:18:55] [IchorPipeline/main/INFO] Initialized Mixin in 16388ms
[2024-06-16 00:18:55.929] [info]  [00:18:55] [Genesis/Baker/main/INFO] Found 12026 classes to bake.
[2024-06-16 00:18:55.933] [info]  LUNARCLIENT_STATUS_PREINIT
[2024-06-16 00:18:55.934] [info]  [00:18:55] [Genesis/GameBootstrap/main/INFO] Starting game!
[2024-06-16 00:18:55.943] [info]  [00:18:55] [Ichor/MixinExtras|Service(MIXIN)/INFO] Initializing MixinExtras via com.llamalad7.mixinextras.service.MixinExtrasServiceImpl(version=0.3.5).
[2024-06-16 00:18:59.488] [info]  [Bridge] Setting Bridge Implementation to com.moonsworth.lunar.IIIICORICOICIRRHCHIIHROIC.IOCOHCCRCOHRICRRHOOICHIHO
[2024-06-16 00:19:00.503] [info]  [00:19:00] [Ichor/mixin(MIXIN)/WARN] Method overwrite conflict for bridge$isFancyGraphics in mixins.modern_bridge_combined.json:HHRIIHHROCICOCHRCICRIOHRH.CCIIHHRHCCHRRHROOHIOCHOCC.CRCIRCHCIOCCIHRCHCHOHICRI from mod (unknown), previously written by com.moonsworth.lunar.IIIICORICOICIRRHCHIIHROIC.CRCIRCHCIOCCIHRCHCHOHICRI.HHRIIHHROCICOCHRCICRIOHRH.CCIIHHRHCCHRRHROOHIOCHOCC.IOCOHCCRCOHRICRRHOOICHIHO. Skipping method.
[2024-06-16 00:19:00.504] [info]  [00:19:00] [Ichor/mixin(MIXIN)/WARN] Method overwrite conflict for bridge$setFrameRateLimit in mixins.modern_bridge_combined.json:HHRIIHHROCICOCHRCICRIOHRH.CCIIHHRHCCHRRHROOHIOCHOCC.CRCIRCHCIOCCIHRCHCHOHICRI from mod (unknown), previously written by com.moonsworth.lunar.IIIICORICOICIRRHCHIIHROIC.CRCIRCHCIOCCIHRCHCHOHICRI.HHRIIHHROCICOCHRCICRIOHRH.CCIIHHRHCCHRRHROOHIOCHOCC.IOCOHCCRCOHRICRRHOOICHIHO. Skipping method.
[2024-06-16 00:19:05.042] [info]  [Bridge] Found textures dir: C:\Users\Asus\.lunarclient\textures
[2024-06-16 00:19:08.782] [info]  [00:19:08] [Genesis/Baker/pool-4-thread-3/INFO] Baked 23699 classes in 29373ms.
[2024-06-16 00:19:08.782] [info]  
[2024-06-16 00:19:08.850] [info]  [00:19:08] [Datafixer Bootstrap/INFO]: 226 Datafixer optimizations took 1760 milliseconds
[2024-06-16 00:19:12.727] [info]  [00:19:12] [main/INFO]: Completely ignored arguments: [--workingDirectory, ., --webosrDir, C:\Users\Asus\.lunarclient\offline\multiver\natives, --classpathDir, ., --ichorExternalFiles, Fabric-API-v1_21_0-0.100.1.jar,Sodium-v1_21_0-0.5.9.jar,Iris-v1_21_0-1.7.1.jar, --ichorClassPath, common-0.1.0-SNAPSHOT-all.jar,lunar-fabric-mixins-0.1.0-SNAPSHOT-all.jar,genesis-0.1.0-SNAPSHOT-all.jar,lunar-lang.jar,lunar-emote.jar,lunar.jar,modern-0.1.0-SNAPSHOT-all.jar,lunar-sodium-mixins-0.1.0-SNAPSHOT-all.jar, --uiDir, C:\Users\Asus\.lunarclient\ui]
[2024-06-16 00:19:12.970] [info]  [00:19:12] [IchorPipeline
[2024-06-16 00:19:12.971] [info]  /Render thread/INFO] Launching main ModInitializer
[2024-06-16 00:19:12.971] [info]  [00:19:12] [IchorPipeline/Render thread/INFO] Launching Entrypoint(main) in Genesis
[2024-06-16 00:19:12.972] [info]  [00:19:12] [Ichor/Render thread/INFO] Found Entrypoint(main) net.fabricmc.fabric.impl.registry.sync.FabricRegistryInit
[2024-06-16 00:19:12.981] [info]  [00:19:12] [Ichor/Render thread/INFO] Found Entrypoint(main) net.fabricmc.fabric.impl.event.lifecycle.LifecycleEventsImpl
[2024-06-16 00:19:12.984] [info]  [00:19:12] [Ichor/Render thread/INFO] Found Entrypoint(main) net.fabricmc.fabric.impl.event.interaction.InteractionEventsRouter
[2024-06-16 00:19:12.987] [info]  [00:19:12] [Ichor/Render thread/INFO] Found Entrypoint(main) net.fabricmc.fabric.impl.recipe.ingredient.CustomIngredientInit
[2024-06-16 00:19:12.993] [info]  [00:19:12] [Ichor/Render thread/INFO] Found Entrypoint(main) net.fabricmc.fabric.impl.recipe.ingredient.CustomIngredientSync
[2024-06-16 00:19:12.995] [info]  [00:19:12] [Ichor/Render thread/INFO
[2024-06-16 00:19:12.995] [info]  ] Found Entrypoint(main) net.fabricmc.fabric.impl.tag.convention.v2.TranslationConventionLogWarnings
[2024-06-16 00:19:12.995] [info]  [00:19:12] [Ichor/Render thread/INFO] Found Entrypoint(main) net.fabricmc.fabric.impl.screenhandler.Networking
[2024-06-16 00:19:12.997] [info]  [00:19:12] [Ichor/Render thread/INFO] Found Entrypoint(main) net.fabricmc.fabric.impl.command.v1.LegacyHandler
[2024-06-16 00:19:12.998] [info]  [00:19:12] [Ichor/Render thread/INFO
[2024-06-16 00:19:12.998] [info]  ] Found Entrypoint(main) net.fabricmc.fabric.impl.attachment.AttachmentEntrypoint
