[2024-06-19 18:04:20.164] [error] NOTE: Picked up JDK_JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-19 18:04:20.169] [error] Picked up JAVA_TOOL_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-19 18:04:20.169] [error] Picked up _JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-19 18:04:20.381] [info]  [18:04:20] [Genesis/main
[2024-06-19 18:04:20.382] [info]  /INFO] Found external file: Fabric-API-v1_20_1-0.90.7.jar
[2024-06-19 18:04:20.385] [info]  [18:04:20] [Genesis/main/INFO] 
[2024-06-19 18:04:20.385] [info]  Found external file: FerriteCore-v1_20_1-6.0.0.jar
[2024-06-19 18:04:20.386] [info]  [18:04:20] [Genesis/main/INFO] Found external file: Lithium-v1_20_1-0.11.2.jar
[2024-06-19 18:04:20.386] [info]  [18:04:20] [Genesis/main/INFO] Found external file: Noxesium-v1_20_1-1.0.3.jar
[2024-06-19 18:04:20.387] [info]  [18:04:20] [Genesis/main/INFO] Found external file: Noxesium_API-v1_20_1-1.0.3.jar
[2024-06-19 18:04:20.387] [info]  [18:04:20] [Genesis/main/
[2024-06-19 18:04:20.387] [info]  INFO] Found external file: ReplayMod-v1_20_1-2.6.14.jar
[2024-06-19 18:04:20.387] [info]  [18:04:20] [Genesis/main/INFO] Found external file: Sodium-v1_20_1-0.5.8.jar
[2024-06-19 18:04:20.388] [info]  [18:04:20] [Genesis/main/INFO] Found external file: Indium-v1_20_1-1.0.30.jar
[2024-06-19 18:04:20.388] [info]  [18:04:20] [Genesis/main/INFO] Found external file: Iris-v1_20_1-1.6.17.jar
[2024-06-19 18:04:20.388] [info]  [18:04:20] [Genesis/main/INFO] Found external file: hypixel-quickplay-data.json
[2024-06-19 18:04:20.388] [info]  [18:04:20] [Genesis/main/INFO] Found external file: hypixel-bedwars-data.json
[2024-06-19 18:04:20.389] [info]  [18:04:20] [Genesis/main/INFO
[2024-06-19 18:04:20.389] [info]  ] Found external file: hypixel-skyblock-dungeon-rooms.json
[2024-06-19 18:04:20.437] [info]  [18:04:20] [Genesis/main/INFO] Found classpath URL: common-0.1.0-SNAPSHOT-all.jar with SHA-1 hash d55f1b0ac13c8a0e4adc1d3072d23059c44d26b8
[2024-06-19 18:04:20.438] [info]  [18:04:20] [Genesis
[2024-06-19 18:04:20.438] [info]  /main/INFO] Found classpath URL: lunar-fabric-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 500ac97175fa953c59c311a3387b0d6c72cf5dba
[2024-06-19 18:04:20.449] [info]  [18:04:20] [Genesis/main/INFO] Found classpath URL: genesis-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 444937f4ede76553b24bff14153b5d9e35687eb2
[2024-06-19 18:04:20.451] [info]  [18:04:20] [Genesis/main/
[2024-06-19 18:04:20.451] [info]  INFO] Found classpath URL: lunar-lang.jar with SHA-1 hash 32a7e666acdc5ff9de8ce454b9390b6bd2bc9177
[2024-06-19 18:04:20.452] [info]  [18:04:20] [Genesis/main/INFO] Found classpath URL: lunar-emote.jar with SHA-1 hash b04f3ee8f5e43fa3b162981b50bb72fe1acabb33
