[2024-06-20 21:44:15.000] [error] NOTE: Picked up JDK_JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-20 21:44:15.005] [error] Picked up JAVA_TOOL_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-20 21:44:15.006] [error] Picked up _JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-20 21:44:15.217] [info]  [
[2024-06-20 21:44:15.218] [info]  21:44:15] [Genesis/main/INFO] Found external file: Fabric-API-v1_20_1-0.90.7.jar
[2024-06-20 21:44:15.221] [info]  [21:44:15] [Genesis/main/INFO] 
[2024-06-20 21:44:15.222] [info]  Found external file: FerriteCore-v1_20_1-6.0.0.jar
[2024-06-20 21:44:15.222] [info]  [21:44:15] [Genesis/main/INFO] Found external file: Lithium-v1_20_1-0.11.2.jar
[2024-06-20 21:44:15.222] [info]  [21:44:15] [Genesis/main/INFO] Found external file: Noxesium-v1_20_1-1.0.3.jar
[2024-06-20 21:44:15.223] [info]  [21:44:15] [Genesis/main/INFO] 
[2024-06-20 21:44:15.223] [info]  Found external file: Noxesium_API-v1_20_1-1.0.3.jar
[2024-06-20 21:44:15.223] [info]  [21:44:15] [Genesis/main/INFO] Found external file: ReplayMod-v1_20_1-2.6.14.jar
[2024-06-20 21:44:15.224] [info]  [21:44:15] [Genesis/main/INFO] Found external file: Sodium-v1_20_1-0.5.8.jar
[2024-06-20 21:44:15.224] [info]  [21:44:15] [Genesis/main/INFO
[2024-06-20 21:44:15.224] [info]  ] Found external file: Indium-v1_20_1-1.0.30.jar
[2024-06-20 21:44:15.225] [info]  [21:44:15] [Genesis/main/INFO] Found external file: Iris-v1_20_1-1.6.17.jar
[2024-06-20 21:44:15.225] [info]  [21:44:15] [Genesis/main/INFO] Found external file: hypixel-quickplay-data.json
[2024-06-20 21:44:15.225] [info]  [21:44:15] [Genesis/main/INFO] Found external file: hypixel-bedwars-data.json
[2024-06-20 21:44:15.225] [info]  [21:44:15] [Genesis/main/INFO] Found external file: hypixel-skyblock-dungeon-rooms.json
[2024-06-20 21:44:15.277] [info]  [21:44:15] [Genesis/main/INFO] Found classpath URL: common-0.1.0-SNAPSHOT-all.jar with SHA-1 hash d55f1b0ac13c8a0e4adc1d3072d23059c44d26b8
[2024-06-20 21:44:15.278] [info]  [21:44:15] [Genesis/main/
[2024-06-20 21:44:15.278] [info]  INFO] Found classpath URL: lunar-fabric-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 500ac97175fa953c59c311a3387b0d6c72cf5dba
[2024-06-20 21:44:15.290] [info]  [21:44:15] [Genesis/main/INFO] Found classpath URL: genesis-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 444937f4ede76553b24bff14153b5d9e35687eb2
[2024-06-20 21:44:15.291] [info]  [21:44:15] [
[2024-06-20 21:44:15.292] [info]  Genesis/main/INFO] Found classpath URL: lunar-lang.jar with SHA-1 hash 32a7e666acdc5ff9de8ce454b9390b6bd2bc9177
[2024-06-20 21:44:15.292] [info]  [21:44:15] [Genesis/main/
[2024-06-20 21:44:15.292] [info]  INFO] Found classpath URL: lunar-emote.jar with SHA-1 hash b04f3ee8f5e43fa3b162981b50bb72fe1acabb33
[2024-06-20 21:44:15.328] [info]  [21:44:15] [Genesis/main/INFO] Found classpath URL: lunar.jar with SHA-1 hash 7ae8b4c716d4afeeca6354f3a4b2bb4f5302869a
[2024-06-20 21:44:15.340] [info]  [21:44:15] [Genesis/main/INFO] Found classpath URL: modern-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 1b16b6bc92071b52ebc358659a8f371324df0a45
[2024-06-20 21:44:15.341] [info]  [21:44:15] [Genesis/
[2024-06-20 21:44:15.341] [info]  main/INFO] Found classpath URL: lunar-ferrite-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 557af8afbc5a3a2dd1082d6c1d89d0924d9148a7
[2024-06-20 21:44:15.342] [info]  [21:44:15] [Genesis
[2024-06-20 21:44:15.342] [info]  /main/INFO] Found classpath URL: lunar-lithium-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 6bddb75b7b546461fe3906061ed6b69c96459fc2
[2024-06-20 21:44:15.343] [info]  [21:44:15] [
[2024-06-20 21:44:15.343] [info]  Genesis/main/INFO] Found classpath URL: lunar-noxesium-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 9ef6225eb7368f6fa9728dd8d086f284b70e6e95
[2024-06-20 21:44:15.344] [info]  [21:44:15] [
[2024-06-20 21:44:15.344] [info]  Genesis/main/INFO] Found classpath URL: lunar-replaymod-fabric-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash d597c36d0c2ff4f04ca99579bbfe849ed80f8dbd
[2024-06-20 21:44:15.346] [info]  [21:44:15
[2024-06-20 21:44:15.347] [info]  ] [Genesis/main/INFO] Found classpath URL: lunar-sodium-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash e5611315574ee949cf2389d5c899eca8eef9c8a3
[2024-06-20 21:44:16.037] [info]  [21:44:16] [Genesis/main/INFO] Adding pre-launch library to game classpath: .\.ichor\ichormodule-libs\net_fabricmc_fabric_loader_0_15_11-lunar-0.1.0.jar
[2024-06-20 21:44:16.112] [info]  [21:44:16] [Genesis/GameBootstrap/main/INFO] Launching Minecraft 1.20.1 v1_20_1 (parsed from 1.20.1)
[2024-06-20 21:44:16.927] [info]  [21:44:16] [Ichor+Fabric/main/INFO] Using custom local mod path: C:\Users\Asus\.lunarclient\profiles\35533a66-fbe4-4c9e-b96c-b47d7554e254\versions\0.0.4\mods
[2024-06-20 21:44:21.146] [info]  LUNARCLIENT_STATUS_PREINIT
[2024-06-20 21:44:21.147] [info]  [
[2024-06-20 21:44:21.147] [info]  21:44:21] [Genesis/GameBootstrap/main/INFO] Starting game!
[2024-06-20 21:44:21.586] [info]  [21:44:21] [IchorPipeline/main/INFO] Built mapping set for com.moonsworth.lunar.ichor.CRCIRCHCIOCCIHRCHCHOHICRI.RHOCIORRHROCOHOOCRHHRRHCI.IHCRIIIICOROROOCCIHHHHCRI.RHCRCHHICCCIIHIIIHIIRROOO 325ms on thread main
[2024-06-20 21:44:21.905] [info]  [21:44:21] [IchorPipeline/main/INFO] Loading Mixin runtime for META_MIXIN
[2024-06-20 21:44:22.125] [info]  [21:44:22] [Ichor/mixin(META_MIXIN)/INFO] SpongePowered MIXIN Subsystem Version=0.8.5 Source=Unknown Service=Ichor Env=CLIENT
[2024-06-20 21:44:22.658] [info]  [21:44:22] [IchorPipeline/main/INFO] Loading Mixin runtime for MIXIN
[2024-06-20 21:44:23.291] [info]  [21:44:23] [Ichor/mixin(MIXIN)/INFO] SpongePowered MIXIN Subsystem Version=0.8.5 Source=Unknown Service=Ichor Env=CLIENT
[2024-06-20 21:44:23.863] [info]  [21:44:23] [IchorPipeline/main/INFO] Done loading Mixin runtimes in 1959ms
[2024-06-20 21:44:23.864] [info]  [21:44:23] [IchorPipeline/main/INFO] Setting up mixins for META_MIXIN
[2024-06-20 21:44:23.964] [info]  [21:44:23] [IchorPipeline/main/INFO] Setting up mixins for MIXIN
[2024-06-20 21:44:23.965] [info]  [21:44:23] [Ichor/main/INFO
[2024-06-20 21:44:23.966] [info]  ] Mixin config mixins.modern.json doesn't exist in IchorClassLoader(MIXIN)
[2024-06-20 21:44:23.966] [info]  [21:44:23] [Ichor/main/INFO] Mixin config mixins.modern_lunar.json doesn't exist in IchorClassLoader(MIXIN)
[2024-06-20 21:44:24.237] [info]  [21:44:24] [IchorPipeline/main/INFO] Done registering Mixins in 374ms
[2024-06-20 21:44:24.238] [info]  [21:44:24] [IchorPipeline/main/INFO] Going to default mixins stage for META_MIXIN
[2024-06-20 21:44:25.179] [info]  [21:44:25] [Ichor/mixin(META_MIXIN)/WARN] Catching java.lang.ClassNotFoundException: IchorClassLoader(META_MIXIN) couldn't find class bytes for net/coderbot/iris/compat/sodium/mixin/options/MixinSodiumOptionsGUI (checked [net.coderbot.iris.compat.sodium.mixin.options.MixinSodiumOptionsGUI]).
[2024-06-20 21:44:25.179] [info]  java.lang.ClassNotFoundException: IchorClassLoader(META_MIXIN) couldn't find class bytes for net/coderbot/iris/compat/sodium/mixin/options/MixinSodiumOptionsGUI (checked [net.coderbot.iris.compat.sodium.mixin.options.MixinSodiumOptionsGUI]).
[2024-06-20 21:44:25.180] [info]  	at com.moonsworth.lunar.ichor.IOCOHCCRCOHRICRRHOOICHIHO.CHICRROIHCCHIOHOIIIOCCCOR(Unknown Source)
[2024-06-20 21:44:25.180] [info]  	at IchorClassLoader(META_MIXIN)//com.moonsworth.lunar.ichor.COCICHIRHCIIORIIHRCOOROHH.IOCOHCCRCOHRICRRHOOICHIHO.IOCOHCCRCOHRICRRHOOICHIHO.getClassNode(Unknown Source)
[2024-06-20 21:44:25.181] [info]  	at IchorClassLoader(META_MIXIN)//com.moonsworth.lunar.ichor.COCICHIRHCIIORIIHRCOOROHH.IOCOHCCRCOHRICRRHOOICHIHO.IOCOHCCRCOHRICRRHOOICHIHO.getClassNode(Unknown Source)
[2024-06-20 21:44:25.181] [info]  	at IchorClassLoader(META_MIXIN)//org.spongepowered.asm.mixin.transformer.ClassInfo.forName(Unknown Source)
[2024-06-20 21:44:25.181] [info]  	at IchorClassLoader(META_MIXIN)//org.spongepowered.asm.mixin.transformer.MixinInfo.getTargetClass(Unknown Source)
[2024-06-20 21:44:25.181] [info]  	at IchorClassLoader(META_MIXIN)//org.spongepowered.asm.mixin.transformer.MixinInfo.readTargetClasses(Unknown Source)
[2024-06-20 21:44:25.182] [info]  	at IchorClassLoader(META_MIXIN)//org.spongepowered.asm.mixin.transformer.MixinInfo.parseTargets(Unknown Source)
[2024-06-20 21:44:25.182] [info]  	at IchorClassLoader(META_MIXIN)//org.spongepowered.asm.mixin.transformer.MixinConfig.prepareMixins(Unknown Source)
[2024-06-20 21:44:25.182] [info]  	at IchorClassLoader(META_MIXIN)//org.spongepowered.asm.mixin.transformer.MixinConfig.prepare(Unknown Source)
[2024-06-20 21:44:25.182] [info]  	at IchorClassLoader(META_MIXIN)//org.spongepowered.asm.mixin.transformer.MixinProcessor.prepareConfigs(Unknown Source)
[2024-06-20 21:44:25.182] [info]  	at IchorClassLoader(META_MIXIN)//org.spongepowered.asm.mixin.transformer.MixinProcessor.select(Unknown Source)
[2024-06-20 21:44:25.183] [info]  	at IchorClassLoader(META_MIXIN)//org.spongepowered.asm.mixin.transformer.MixinProcessor.checkSelect(Unknown Source)
[2024-06-20 21:44:25.183] [info]  	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(Unknown Source)
[2024-06-20 21:44:25.183] [info]  	at java.base/java.lang.reflect.Method.invoke(Unknown Source)
[2024-06-20 21:44:25.183] [info]  	at IchorClassLoader(META_MIXIN)//org.spongepowered.asm.mixin.transformer.MixinProxyImpl.gotoDefaultPhase(Unknown Source)
[2024-06-20 21:44:25.183] [info]  	at com.moonsworth.lunar.ichor.IHCRIIIICOROROOCCIHHHHCRI.RCOIIRRHOORIOROOROICRHHOR(Unknown Source)
[2024-06-20 21:44:25.184] [info]  	at com.moonsworth.lunar.ichor.IHCRIIIICOROROOCCIHHHHCRI.RHOCIORRHROCOHOOCRHHRRHCI(Unknown Source)
[2024-06-20 21:44:25.184] [info]  	at com.moonsworth.lunar.ichor.IHCRIIIICOROROOCCIHHHHCRI.RHOCIORRHROCOHOOCRHHRRHCI(Unknown Source)
[2024-06-20 21:44:25.184] [info]  	at com.moonsworth.lunar.ichor.IHCRIIIICOROROOCCIHHHHCRI.RHOCIORRHROCOHOOCRHHRRHCI(Unknown Source)
[2024-06-20 21:44:25.184] [info]  	at com.moonsworth.lunar.ichor.IRCIHCHCCHHOCORRHRCCORROC.RHOCIORRHROCOHOOCRHHRRHCI(Unknown Source)
[2024-06-20 21:44:25.184] [info]  	at com.moonsworth.lunar.genesis.CRCIRCHCIOCCIHRCHCHOHICRI.findClass(Unknown Source)
[2024-06-20 21:44:25.185] [info]  	at com.moonsworth.lunar.genesis.CRCIRCHCIOCCIHRCHCHOHICRI.loadClass(Unknown Source)
[2024-06-20 21:44:25.185] [info]  	at java.base/java.lang.ClassLoader.loadClass(Unknown Source)
[2024-06-20 21:44:25.185] [info]  	at java.base/java.lang.Class.forName0(Native Method)
[2024-06-20 21:44:25.185] [info]  	at java.base/java.lang.Class.forName(Unknown Source)
[2024-06-20 21:44:25.185] [info]  	at java.base/java.lang.Class.forName(Unknown Source)
[2024-06-20 21:44:25.186] [info]  	at com.moonsworth.lunar.genesis.ClientGameBootstrap.apply(Unknown Source)
[2024-06-20 21:44:25.186] [info]  	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(Unknown Source)
[2024-06-20 21:44:25.186] [info]  	at java.base/java.lang.reflect.Method.invoke(Unknown Source)
[2024-06-20 21:44:25.186] [info]  	at com.moonsworth.lunar.genesis.IOCOHCCRCOHRICRRHOOICHIHO.RHOCIORRHROCOHOOCRHHRRHCI(Unknown Source)
[2024-06-20 21:44:25.187] [info]  	at com.moonsworth.lunar.genesis.Genesis.run(Unknown Source)
[2024-06-20 21:44:25.187] [info]  	at com.moonsworth.lunar.genesis.Genesis.main(Unknown Source)
[2024-06-20 21:44:25.187] [info]  [21:44:25] [Ichor/mixin(META_MIXIN)/WARN] Error loading class: net/coderbot/iris/compat/sodium/mixin/options/MixinSodiumOptionsGUI (java.lang.ClassNotFoundException: IchorClassLoader(META_MIXIN) couldn't find class bytes for net/coderbot/iris/compat/sodium/mixin/options/MixinSodiumOptionsGUI (checked [net.coderbot.iris.compat.sodium.mixin.options.MixinSodiumOptionsGUI]).)
[2024-06-20 21:44:25.187] [info]  [21:44:25] [Ichor/mixin(META_MIXIN)/WARN] @Mixin target net.coderbot.iris.compat.sodium.mixin.options.MixinSodiumOptionsGUI was not found mixins.meta.ichor.sodium.v1_20_1.json:RHOCIORRHROCOHOOCRHHRRHCI from mod (unknown)
[2024-06-20 21:44:25.203] [info]  [21:44:25] [IchorPipeline/main/INFO] Going to default mixins stage for MIXIN
[2024-06-20 21:44:25.218] [info]  [21:44:25] [Ichor/MixinExtras|Service(META_MIXIN)/INFO] Initializing MixinExtras via com.llamalad7.mixinextras.service.MixinExtrasServiceImpl(version=0.3.5).
[2024-06-20 21:44:26.589] [info]  [21:44:26] [main/INFO]: Loaded configuration file for Lithium: 115 options available, 2 override(s) found
[2024-06-20 21:44:26.714] [info]  [21:44:26] [main/INFO]: Loaded configuration file for Sodium: 42 options available, 3 override(s) found
[2024-06-20 21:44:26.782] [info]  [21:44:26] [main/INFO]: Loaded configuration file for Sodium Extra: 34 options available, 0 override(s) found
[2024-06-20 21:44:32.120] [info]  [21:44:32] [Ichor/mixin(MIXIN)/WARN] Catching java.lang.ClassNotFoundException: IchorClassLoader(MIXIN) couldn't find class bytes for net/optifine/render/ChunkVisibility (checked [net.optifine.render.ChunkVisibility]).
[2024-06-20 21:44:32.121] [info]  [21:44:32] [Ichor/mixin(MIXIN)/WARN] Error loading class: net/optifine/render/ChunkVisibility (java.lang.ClassNotFoundException: IchorClassLoader(MIXIN) couldn't find class bytes for net/optifine/render/ChunkVisibility (checked [net.optifine.render.ChunkVisibility]).)
[2024-06-20 21:44:32.121] [info]  [21:44:32] [Ichor/mixin(MIXIN)/WARN] Catching java.lang.ClassNotFoundException: IchorClassLoader(MIXIN) couldn't find class bytes for shadersmod/client/ShadersRender (checked [shadersmod.client.ShadersRender]).
[2024-06-20 21:44:32.122] [info]  [21:44:32] [Ichor/mixin(MIXIN)/WARN] Error loading class: shadersmod/client/ShadersRender (java.lang.ClassNotFoundException: IchorClassLoader(MIXIN) couldn't find class bytes for shadersmod/client/ShadersRender (checked [shadersmod.client.ShadersRender]).)
[2024-06-20 21:44:32.122] [info]  [21:44:32] [Ichor/mixin(MIXIN)/WARN] Catching java.lang.ClassNotFoundException: IchorClassLoader(MIXIN) couldn't find class bytes for net/optifine/shaders/ShadersRender (checked [net.optifine.shaders.ShadersRender]).
