[2024-06-22 16:01:42.441] [info]  	at java.base/java.lang.reflect.Method.invoke(Unknown Source) ~[?:?]
[2024-06-22 16:01:42.443] [info]  	at com.moonsworth.lunar.genesis.ClientGameBootstrap.apply(Unknown Source) [genesis-0.1.0-SNAPSHOT-all.jar:?]
[2024-06-22 16:01:42.443] [info]  	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(Unknown Source) ~[?:?]
[2024-06-22 16:01:42.443] [info]  	at java.base/java.lang.reflect.Method.invoke(Unknown Source) ~[?:?]
[2024-06-22 16:01:42.443] [info]  	at com.moonsworth.lunar.genesis.IOCOHCCRCOHRICRRHOOICHIHO.RHOCIORRHROCOHOOCRHHRRHCI(Unknown Source) [genesis-0.1.0-SNAPSHOT-all.jar:?]
[2024-06-22 16:01:42.444] [info]  	at com.moonsworth.lunar.genesis.Genesis.run(Unknown Source) [genesis-0.1.0-SNAPSHOT-all.jar:?]
[2024-06-22 16:01:42.444] [info]  	at com.moonsworth.lunar.genesis.Genesis.main(Unknown Source) [genesis-0.1.0-SNAPSHOT-all.jar:?]
[2024-06-22 16:01:42.594] [info]  [16:01:42] [Render thread/WARN]: Entity RemotePlayer['Bowjustkid'/1070564, l='ClientLevel', x=758.28, y=58.65, z=17.95] does not have attribute null
[2024-06-22 16:01:42.795] [info]  [16:01:42] [Render thread/WARN]: Entity LocalPlayer['MengHong001'/1058009, l='ClientLevel', x=772.17, y=58.00, z=19.00] does not have attribute null
[2024-06-22 16:01:42.804] [info]  [16:01:42] [Render thread/WARN]: Entity LocalPlayer['MengHong001'/1058009, l='ClientLevel', x=772.17, y=58.00, z=19.00] does not have attribute null
[2024-06-22 16:01:42.841] [info]  [16:01:42] [Render thread/WARN]: Entity RemotePlayer['Keshiez'/1095686, l='ClientLevel', x=785.29, y=59.12, z=4.46] does not have attribute null
[2024-06-22 16:01:43.061] [info]  [16:01:43] [Render thread/WARN]: Entity RemotePlayer['SazokiXXxXX46'/1052170, l='ClientLevel', x=727.63, y=59.02, z=-0.06] does not have attribute null
[2024-06-22 16:01:43.199] [info]  [16:01:43] [Render thread/WARN]: Entity LocalPlayer['MengHong001'/1058009, l='ClientLevel', x=771.59, y=58.00, z=16.94] does not have attribute null
[2024-06-22 16:01:43.245] [info]  [16:01:43] [Render thread/WARN]: Entity RemotePlayer['ichikawa01'/1029496, l='ClientLevel', x=758.02, y=58.89, z=20.75] does not have attribute null
[2024-06-22 16:01:43.337] [info]  [16:01:43] [Render thread/WARN]: Entity RemotePlayer['LUITIFER168'/1100113, l='ClientLevel', x=726.31, y=58.12, z=-0.03] does not have attribute null
[2024-06-22 16:01:43.400] [info]  [16:01:43] [Render thread/INFO]: [System] [CHAT] Keshiez left while he was combat with Ra1zennnn
[2024-06-22 16:01:43.410] [info]  [16:01:43] [Render thread/INFO]: [System] [CHAT] (⚔) CpvpShadow killed Windxq
[2024-06-22 16:01:43.492] [info]  [16:01:43] [Render thread/WARN]: Entity RemotePlayer['AK1Roo_'/892403, l='ClientLevel', x=765.37, y=59.11, z=24.15] does not have attribute null
[2024-06-22 16:01:43.547] [info]  [16:01:43] [Render thread/WARN]: Entity RemotePlayer['KendricKai'/1040059, l='ClientLevel', x=744.19, y=58.00, z=5.72] does not have attribute null
[2024-06-22 16:01:43.593] [info]  [16:01:43] [Render thread/WARN]: Entity RemotePlayer['_MaGod'/1076091, l='ClientLevel', x=772.50, y=59.04, z=-26.24] does not have attribute null
[2024-06-22 16:01:43.693] [info]  [16:01:43] [Render thread/WARN]: Entity LocalPlayer['MengHong001'/1058009, l='ClientLevel', x=771.88, y=59.18, z=13.73] does not have attribute null
[2024-06-22 16:01:43.740] [info]  [16:01:43] [Render thread/WARN]: Entity RemotePlayer['domcaninvisble3'/697276, l='ClientLevel', x=727.58, y=58.54, z=4.23] does not have attribute null
[2024-06-22 16:01:43.786] [info]  [16:01:43] [Render thread/ERROR]: Error executing task on Client
[2024-06-22 16:01:43.786] [info]  java.lang.IllegalStateException: Player is either on another team or not on any team. Cannot remove from team 'pd-ghosts'.
[2024-06-22 16:01:43.787] [info]  	at Genesis/net.minecraft.world.scores.Scoreboard.removePlayerFromTeam(SourceFile:228) ~[?:?]
[2024-06-22 16:01:43.787] [info]  	at Genesis/net.minecraft.client.multiplayer.ClientPacketListener.handleSetPlayerTeamPacket(SourceFile:2325) ~[?:?]
[2024-06-22 16:01:43.787] [info]  	at Genesis/net.minecraft.network.protocol.game.ClientboundSetPlayerTeamPacket.handle(SourceFile:129) ~[?:?]
[2024-06-22 16:01:43.788] [info]  	at Genesis/net.minecraft.network.protocol.game.ClientboundSetPlayerTeamPacket.handle(SourceFile:14) ~[?:?]
[2024-06-22 16:01:43.788] [info]  	at Genesis/net.minecraft.network.protocol.PacketUtils.lambda$ensureRunningOnSameThread$0(SourceFile:22) ~[?:?]
[2024-06-22 16:01:43.788] [info]  	at Genesis/net.minecraft.util.thread.BlockableEventLoop.doRunTask(SourceFile:156) [?:?]
[2024-06-22 16:01:43.788] [info]  	at Genesis/net.minecraft.util.thread.ReentrantBlockableEventLoop.doRunTask(SourceFile:23) [?:?]
[2024-06-22 16:01:43.788] [info]  	at Genesis/net.minecraft.util.thread.BlockableEventLoop.pollTask(SourceFile:130) [?:?]
[2024-06-22 16:01:43.789] [info]  	at Genesis/net.minecraft.util.thread.BlockableEventLoop.runAllTasks(SourceFile:115) [?:?]
[2024-06-22 16:01:43.789] [info]  	at Genesis/net.minecraft.client.Minecraft.runTick(SourceFile:1175) [?:?]
[2024-06-22 16:01:43.789] [info]  	at Genesis/net.minecraft.client.Minecraft.run(SourceFile:802) [?:?]
[2024-06-22 16:01:43.789] [info]  	at Genesis/net.minecraft.client.main.Main.main(SourceFile:250) [?:?]
[2024-06-22 16:01:43.789] [info]  	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(Unknown Source) ~[?:?]
[2024-06-22 16:01:43.790] [info]  	at java.base/java.lang.reflect.Method.invoke(Unknown Source) ~[?:?]
[2024-06-22 16:01:43.790] [info]  	at com.moonsworth.lunar.genesis.ClientGameBootstrap.apply(Unknown Source) [genesis-0.1.0-SNAPSHOT-all.jar:?]
[2024-06-22 16:01:43.790] [info]  	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(Unknown Source) ~[?:?]
[2024-06-22 16:01:43.790] [info]  	at java.base/java.lang.reflect.Method.invoke(Unknown Source) ~[?:?]
[2024-06-22 16:01:43.790] [info]  	at com.moonsworth.lunar.genesis.IOCOHCCRCOHRICRRHOOICHIHO.RHOCIORRHROCOHOOCRHHRRHCI(Unknown Source) [genesis-0.1.0-SNAPSHOT-all.jar:?]
[2024-06-22 16:01:43.790] [info]  	at com.moonsworth.lunar.genesis.Genesis.run(Unknown Source) [genesis-0.1.0-SNAPSHOT-all.jar:?]
[2024-06-22 16:01:43.791] [info]  	at com.moonsworth.lunar.genesis.Genesis.main(Unknown Source) [genesis-0.1.0-SNAPSHOT-all.jar:?]
[2024-06-22 16:01:44.070] [info]  [16:01:44] [Render thread/WARN]: Entity LocalPlayer['MengHong001'/1058009, l='ClientLevel', x=771.64, y=59.00, z=12.30] does not have attribute null
[2024-06-22 16:01:44.209] [info]  [16:01:44] [Render thread/WARN]: Entity LocalPlayer['MengHong001'/1058009, l='ClientLevel', x=771.30, y=59.25, z=12.34] does not have attribute null
[2024-06-22 16:01:44.300] [info]  [16:01:44] [Render thread/WARN]: Entity RemotePlayer['_GodHaru'/1087212, l='ClientLevel', x=771.17, y=58.00, z=13.30] does not have attribute null
[2024-06-22 16:01:44.750] [info]  [16:01:44] [Render thread/INFO]: [System] [CHAT]  CpvpShadow: gg
[2024-06-22 16:01:45.191] [info]  [16:01:45] [Render thread/WARN]: Entity RemotePlayer['KendricKai'/1040059, l='ClientLevel', x=745.81, y=58.00, z=5.82] does not have attribute null
[2024-06-22 16:01:45.346] [info]  [16:01:45] [Render thread/WARN]: Entity RemotePlayer['Intsb'/1084022, l='ClientLevel', x=749.72, y=58.44, z=5.22] does not have attribute null
[2024-06-22 16:01:45.703] [info]  [16:01:45] [Render thread/INFO]: [System] [CHAT] (⚔) unsxye killed .Divyansh1980395
[2024-06-22 16:01:45.730] [info]  [16:01:45] [Render thread/INFO]: [System] [CHAT] (⚔) _Chhayfriendly killed renpairider
[2024-06-22 16:01:46.160] [info]  [16:01:46] [Render thread/INFO]: [System] [CHAT] (⚔) .I_am_OS_yt killed expert_playz1282
[2024-06-22 16:01:46.289] [info]  [16:01:46] [Render thread/WARN]: Entity RemotePlayer['Goripe'/1003867, l='ClientLevel', x=746.39, y=58.76, z=9.52] does not have attribute null
[2024-06-22 16:01:46.902] [info]  [16:01:46] [Render thread/WARN]: Entity RemotePlayer['CpvpShadow'/1092852, l='ClientLevel', x=762.09, y=59.10, z=31.42] does not have attribute null
[2024-06-22 16:01:47.497] [info]  [16:01:47] [Render thread/WARN]: Entity RemotePlayer['SazokiXXxXX46'/1052170, l='ClientLevel', x=727.80, y=58.12, z=-0.22] does not have attribute null
[2024-06-22 16:01:47.992] [info]  [16:01:47] [Render thread/WARN]: Entity RemotePlayer['LUITIFER168'/1100113, l='ClientLevel', x=727.55, y=58.00, z=7.34] does not have attribute null
[2024-06-22 16:01:48.175] [info]  [16:01:48] [Render thread/WARN]: Entity LocalPlayer['MengHong001'/1058009, l='ClientLevel', x=770.69, y=58.50, z=15.80] does not have attribute null
[2024-06-22 16:01:48.275] [info]  [16:01:48] [Render thread/WARN]: Entity RemotePlayer['_GodHaru'/1087212, l='ClientLevel', x=771.37, y=58.37, z=15.92] does not have attribute null
[2024-06-22 16:01:48.276] [info]  [16:01:48] [Render thread/WARN]: Entity LocalPlayer['MengHong001'/1058009, l='ClientLevel', x=770.45, y=58.00, z=15.11] does not have attribute null
[2024-06-22 16:01:48.441] [info]  [16:01:48] [Render thread/WARN]: Entity RemotePlayer['SastrajaChhea'/1093273, l='ClientLevel', x=768.48, y=59.09, z=34.87] does not have attribute null
[2024-06-22 16:01:48.541] [info]  [16:01:48] [Render thread/WARN]: Entity RemotePlayer['Intsb'/1084022, l='ClientLevel', x=748.00, y=58.67, z=10.21] does not have attribute null
[2024-06-22 16:01:48.651] [info]  [16:01:48] [Render thread/WARN]: Entity LocalPlayer['MengHong001'/1058009, l='ClientLevel', x=771.25, y=59.18, z=15.19] does not have attribute null
[2024-06-22 16:01:48.752] [info]  [16:01:48] [Render thread/WARN]: Entity RemotePlayer['LUITIFER168'/1100113, l='ClientLevel', x=728.57, y=58.75, z=9.54] does not have attribute null
[2024-06-22 16:01:48.825] [info]  [16:01:48] [Render thread/WARN]: Entity LocalPlayer['MengHong001'/1058009, l='ClientLevel', x=771.63, y=58.12, z=15.31] does not have attribute null
[2024-06-22 16:01:49.090] [info]  [16:01:49] [Render thread/INFO]: [System] [CHAT] (⚔) DAREEL killed fruitjerries
[2024-06-22 16:01:49.154] [info]  [16:01:49] [Render thread/WARN]: Entity LocalPlayer['MengHong001'/1058009, l='ClientLevel', x=770.26, y=59.25, z=15.13] does not have attribute null
[2024-06-22 16:01:49.429] [info]  [16:01:49] [Render thread/WARN]: Entity LocalPlayer['MengHong001'/1058009, l='ClientLevel', x=770.04, y=58.12, z=15.32] does not have attribute null
